DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter1008,Ketoconazole,DDInter8,Abiraterone,Moderate
DDInter8,Abiraterone,DDInter1118,Magnesium hydroxide,Moderate
DDInter1187,Methylergometrine,DDInter8,Abiraterone,Moderate
DDInter1202,Metronidazole,DDInter8,Abiraterone,Minor
DDInter1215,Mifepristone,DDInter8,Abiraterone,Major
DDInter1375,Oxytocin,DDInter8,Abiraterone,Moderate
DDInter1389,Papaverine,DDInter8,Abiraterone,Major
DDInter1606,Ritodrine,DDInter8,Abiraterone,Moderate
DDInter1696,Solifenacin,DDInter8,Abiraterone,Moderate
DDInter1724,Sulfamethoxazole,DDInter8,Abiraterone,Minor
DDInter1745,Tamsulosin,DDInter8,Abiraterone,Moderate
DDInter1832,Tolterodine,DDInter8,Abiraterone,Minor
DDInter1836,Torasemide,DDInter8,Abiraterone,Moderate
DDInter1918,Vardenafil,DDInter8,Abiraterone,Moderate
DDInter8,Abiraterone,DDInter1925,Vemurafenib,Major
DDInter225,Botulinum toxin type A,DDInter480,Darifenacin,Moderate
DDInter225,Botulinum toxin type A,DDInter731,Fesoterodine,Moderate
DDInter225,Botulinum toxin type A,DDInter738,Flavoxate,Moderate
DDInter225,Botulinum toxin type A,DDInter1365,Oxybutynin,Moderate
DDInter225,Botulinum toxin type A,DDInter1696,Solifenacin,Moderate
DDInter225,Botulinum toxin type A,DDInter1832,Tolterodine,Moderate
DDInter225,Botulinum toxin type A,DDInter1886,Trospium,Moderate
DDInter124,Ascorbic acid,DDInter1377,Paclitaxel,Minor
DDInter223,Bosentan,DDInter1377,Paclitaxel,Moderate
DDInter351,Chloramphenicol,DDInter1377,Paclitaxel,Moderate
DDInter416,Clotrimazole,DDInter1377,Paclitaxel,Moderate
DDInter1377,Paclitaxel,DDInter472,Danazol,Moderate
DDInter1377,Paclitaxel,DDInter482,Darunavir,Moderate
DDInter1377,Paclitaxel,DDInter741,Flibanserin,Moderate
DDInter1377,Paclitaxel,DDInter559,Diiodohydroxyquinoline,Moderate
DDInter1008,Ketoconazole,DDInter1377,Paclitaxel,Moderate
DDInter1202,Metronidazole,DDInter1377,Paclitaxel,Moderate
DDInter1209,Miconazole,DDInter1377,Paclitaxel,Moderate
DDInter1215,Mifepristone,DDInter1377,Paclitaxel,Moderate
DDInter1622,Rosuvastatin,DDInter1377,Paclitaxel,Moderate
DDInter1377,Paclitaxel,DDInter1673,Simeprevir,Moderate
DDInter1811,Tinidazole,DDInter1377,Paclitaxel,Moderate
DDInter1377,Paclitaxel,DDInter1897,Ulipristal,Moderate
DDInter1377,Paclitaxel,DDInter1925,Vemurafenib,Moderate
DDInter1137,Medroxyprogesterone acetate,DDInter991,Isotretinoin,Moderate
DDInter1215,Mifepristone,DDInter991,Isotretinoin,Moderate
DDInter1312,Norethisterone,DDInter991,Isotretinoin,Moderate
DDInter991,Isotretinoin,DDInter1315,Norgestrel,Moderate
DDInter1374,Oxytetracycline,DDInter991,Isotretinoin,Major
DDInter991,Isotretinoin,DDInter1925,Vemurafenib,Moderate
DDInter44,Alfuzosin,DDInter722,Fentanyl,Moderate
DDInter109,Apomorphine,DDInter722,Fentanyl,Moderate
DDInter179,Bendroflumethiazide,DDInter722,Fentanyl,Moderate
DDInter188,Benzthiazide,DDInter722,Fentanyl,Moderate
DDInter223,Bosentan,DDInter722,Fentanyl,Major
DDInter722,Fentanyl,DDInter243,Bromocriptine,Moderate
DDInter722,Fentanyl,DDInter248,Bumetanide,Moderate
DDInter351,Chloramphenicol,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter360,Chlorothiazide,Moderate
DDInter365,Chlorthalidone,DDInter722,Fentanyl,Moderate
DDInter416,Clotrimazole,DDInter722,Fentanyl,Major
DDInter722,Fentanyl,DDInter472,Danazol,Moderate
DDInter480,Darifenacin,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter482,Darunavir,Major
DDInter722,Fentanyl,DDInter535,Diazoxide,Moderate
DDInter679,Estradiol,DDInter722,Fentanyl,Minor
DDInter722,Fentanyl,DDInter731,Fesoterodine,Moderate
DDInter722,Fentanyl,DDInter738,Flavoxate,Moderate
DDInter722,Fentanyl,DDInter741,Flibanserin,Moderate
DDInter790,Furosemide,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter883,Hydrochlorothiazide,Moderate
DDInter889,Hydroflumethiazide,DDInter722,Fentanyl,Moderate
DDInter916,Indapamide,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter1008,Ketoconazole,Major
DDInter1199,Metolazone,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter1209,Miconazole,Moderate
DDInter722,Fentanyl,DDInter1215,Mifepristone,Major
DDInter722,Fentanyl,DDInter1365,Oxybutynin,Moderate
DDInter722,Fentanyl,DDInter1490,Polythiazide,Moderate
DDInter1666,Sildenafil,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter1667,Silodosin,Moderate
DDInter722,Fentanyl,DDInter1696,Solifenacin,Moderate
DDInter1730,Sumatriptan,DDInter722,Fentanyl,Major
DDInter1745,Tamsulosin,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter1767,Terazosin,Moderate
DDInter722,Fentanyl,DDInter1832,Tolterodine,Moderate
DDInter1836,Torasemide,DDInter722,Fentanyl,Moderate
DDInter1886,Trospium,DDInter722,Fentanyl,Moderate
DDInter722,Fentanyl,DDInter1925,Vemurafenib,Moderate
DDInter722,Fentanyl,DDInter1971,Zonisamide,Moderate
DDInter223,Bosentan,DDInter9,Acalabrutinib,Moderate
DDInter351,Chloramphenicol,DDInter9,Acalabrutinib,Moderate
DDInter416,Clotrimazole,DDInter9,Acalabrutinib,Moderate
DDInter472,Danazol,DDInter9,Acalabrutinib,Moderate
DDInter482,Darunavir,DDInter9,Acalabrutinib,Major
DDInter900,Ibuprofen,DDInter9,Acalabrutinib,Major
DDInter1008,Ketoconazole,DDInter9,Acalabrutinib,Major
DDInter1118,Magnesium hydroxide,DDInter9,Acalabrutinib,Moderate
DDInter1209,Miconazole,DDInter9,Acalabrutinib,Moderate
DDInter1215,Mifepristone,DDInter9,Acalabrutinib,Major
DDInter1266,Naproxen,DDInter9,Acalabrutinib,Major
DDInter1424,Pentosan polysulfate,DDInter9,Acalabrutinib,Moderate
DDInter1925,Vemurafenib,DDInter9,Acalabrutinib,Moderate
DDInter11,Acarbose,DDInter15,Acetazolamide,Moderate
DDInter11,Acarbose,DDInter179,Bendroflumethiazide,Moderate
DDInter11,Acarbose,DDInter188,Benzthiazide,Moderate
DDInter11,Acarbose,DDInter248,Bumetanide,Moderate
DDInter11,Acarbose,DDInter360,Chlorothiazide,Moderate
DDInter11,Acarbose,DDInter365,Chlorthalidone,Moderate
DDInter11,Acarbose,DDInter439,Conjugated estrogens,Moderate
DDInter11,Acarbose,DDInter440,Conjugated estrogens (topical),Moderate
DDInter11,Acarbose,DDInter472,Danazol,Moderate
DDInter11,Acarbose,DDInter482,Darunavir,Moderate
DDInter11,Acarbose,DDInter535,Diazoxide,Moderate
DDInter11,Acarbose,DDInter540,Diclofenamide,Moderate
DDInter11,Acarbose,DDInter545,Dienestrol (topical),Moderate
DDInter548,Diethylstilbestrol,DDInter11,Acarbose,Moderate
DDInter11,Acarbose,DDInter604,Drospirenone,Moderate
DDInter11,Acarbose,DDInter679,Estradiol,Moderate
DDInter11,Acarbose,DDInter680,Estradiol (topical),Moderate
DDInter11,Acarbose,DDInter682,Estrone,Moderate
DDInter11,Acarbose,DDInter692,Ethinylestradiol,Moderate
DDInter11,Acarbose,DDInter701,Etonogestrel,Moderate
DDInter11,Acarbose,DDInter790,Furosemide,Moderate
DDInter11,Acarbose,DDInter883,Hydrochlorothiazide,Moderate
DDInter11,Acarbose,DDInter889,Hydroflumethiazide,Moderate
DDInter11,Acarbose,DDInter916,Indapamide,Moderate
DDInter11,Acarbose,DDInter1061,Levonorgestrel,Moderate
DDInter11,Acarbose,DDInter1137,Medroxyprogesterone acetate,Moderate
DDInter11,Acarbose,DDInter1141,Megestrol acetate,Moderate
DDInter11,Acarbose,DDInter1167,Methazolamide,Moderate
DDInter11,Acarbose,DDInter1199,Metolazone,Moderate
DDInter11,Acarbose,DDInter1312,Norethisterone,Moderate
DDInter11,Acarbose,DDInter1315,Norgestrel,Moderate
DDInter11,Acarbose,DDInter1490,Polythiazide,Moderate
DDInter11,Acarbose,DDInter1529,Progesterone,Moderate
DDInter11,Acarbose,DDInter1530,Progesterone (topical),Moderate
DDInter11,Acarbose,DDInter1606,Ritodrine,Moderate
DDInter1836,Torasemide,DDInter11,Acarbose,Moderate
DDInter11,Acarbose,DDInter1861,Trichlormethiazide,Moderate
DDInter1066,Lidocaine,DDInter223,Bosentan,Minor
DDInter1066,Lidocaine,DDInter482,Darunavir,Moderate
DDInter1066,Lidocaine,DDInter1215,Mifepristone,Moderate
DDInter1066,Lidocaine,DDInter1562,Raloxifene,Minor
DDInter1066,Lidocaine,DDInter1925,Vemurafenib,Minor
DDInter109,Apomorphine,DDInter362,Chlorpheniramine,Moderate
DDInter362,Chlorpheniramine,DDInter243,Bromocriptine,Moderate
DDInter480,Darifenacin,DDInter362,Chlorpheniramine,Moderate
DDInter1453,Phenylephrine,DDInter664,Ergometrine,Major
DDInter362,Chlorpheniramine,DDInter731,Fesoterodine,Moderate
DDInter1453,Phenylephrine,DDInter738,Flavoxate,Moderate
DDInter362,Chlorpheniramine,DDInter741,Flibanserin,Moderate
DDInter1187,Methylergometrine,DDInter1453,Phenylephrine,Major
DDInter362,Chlorpheniramine,DDInter1229,Mirabegron,Moderate
DDInter1365,Oxybutynin,DDInter362,Chlorpheniramine,Moderate
DDInter1375,Oxytocin,DDInter1453,Phenylephrine,Moderate
DDInter1453,Phenylephrine,DDInter1606,Ritodrine,Moderate
DDInter362,Chlorpheniramine,DDInter1696,Solifenacin,Moderate
DDInter1832,Tolterodine,DDInter362,Chlorpheniramine,Moderate
DDInter1886,Trospium,DDInter362,Chlorpheniramine,Moderate
DDInter362,Chlorpheniramine,DDInter1925,Vemurafenib,Moderate
DDInter1971,Zonisamide,DDInter362,Chlorpheniramine,Major
DDInter44,Alfuzosin,DDInter12,Acebutolol,Moderate
DDInter109,Apomorphine,DDInter12,Acebutolol,Moderate
DDInter12,Acebutolol,DDInter141,Avanafil,Moderate
DDInter179,Bendroflumethiazide,DDInter12,Acebutolol,Moderate
DDInter188,Benzthiazide,DDInter12,Acebutolol,Moderate
DDInter12,Acebutolol,DDInter243,Bromocriptine,Moderate
DDInter248,Bumetanide,DDInter12,Acebutolol,Moderate
DDInter260,Cabergoline,DDInter12,Acebutolol,Moderate
DDInter360,Chlorothiazide,DDInter12,Acebutolol,Moderate
DDInter365,Chlorthalidone,DDInter12,Acebutolol,Moderate
DDInter12,Acebutolol,DDInter664,Ergometrine,Moderate
DDInter790,Furosemide,DDInter12,Acebutolol,Moderate
DDInter883,Hydrochlorothiazide,DDInter12,Acebutolol,Moderate
DDInter889,Hydroflumethiazide,DDInter12,Acebutolol,Moderate
DDInter900,Ibuprofen,DDInter12,Acebutolol,Moderate
DDInter916,Indapamide,DDInter12,Acebutolol,Moderate
DDInter12,Acebutolol,DDInter1118,Magnesium hydroxide,Minor
DDInter1187,Methylergometrine,DDInter12,Acebutolol,Moderate
DDInter1199,Metolazone,DDInter12,Acebutolol,Moderate
DDInter1266,Naproxen,DDInter12,Acebutolol,Moderate
DDInter1365,Oxybutynin,DDInter12,Acebutolol,Moderate
DDInter12,Acebutolol,DDInter1490,Polythiazide,Moderate
DDInter1606,Ritodrine,DDInter12,Acebutolol,Major
DDInter1666,Sildenafil,DDInter12,Acebutolol,Moderate
DDInter12,Acebutolol,DDInter1667,Silodosin,Moderate
DDInter1736,Tadalafil,DDInter12,Acebutolol,Minor
DDInter1767,Terazosin,DDInter12,Acebutolol,Moderate
DDInter1832,Tolterodine,DDInter12,Acebutolol,Moderate
DDInter1836,Torasemide,DDInter12,Acebutolol,Moderate
DDInter1861,Trichlormethiazide,DDInter12,Acebutolol,Moderate
DDInter1886,Trospium,DDInter12,Acebutolol,Moderate
DDInter1918,Vardenafil,DDInter12,Acebutolol,Moderate
DDInter14,Acetaminophen,DDInter480,Darifenacin,Minor
DDInter14,Acetaminophen,DDInter692,Ethinylestradiol,Minor
DDInter14,Acetaminophen,DDInter738,Flavoxate,Minor
DDInter14,Acetaminophen,DDInter1353,Ospemifene,Moderate
DDInter14,Acetaminophen,DDInter1365,Oxybutynin,Minor
DDInter14,Acetaminophen,DDInter1522,Probenecid,Minor
DDInter14,Acetaminophen,DDInter1696,Solifenacin,Minor
DDInter14,Acetaminophen,DDInter1832,Tolterodine,Minor
DDInter1886,Trospium,DDInter14,Acetaminophen,Minor
DDInter14,Acetaminophen,DDInter1925,Vemurafenib,Moderate
DDInter44,Alfuzosin,DDInter556,Dihydrocodeine,Moderate
DDInter109,Apomorphine,DDInter556,Dihydrocodeine,Moderate
DDInter179,Bendroflumethiazide,DDInter556,Dihydrocodeine,Moderate
DDInter188,Benzthiazide,DDInter556,Dihydrocodeine,Moderate
DDInter223,Bosentan,DDInter556,Dihydrocodeine,Moderate
DDInter243,Bromocriptine,DDInter556,Dihydrocodeine,Moderate
DDInter248,Bumetanide,DDInter556,Dihydrocodeine,Moderate
DDInter336,Celecoxib,DDInter556,Dihydrocodeine,Moderate
DDInter360,Chlorothiazide,DDInter556,Dihydrocodeine,Moderate
DDInter365,Chlorthalidone,DDInter556,Dihydrocodeine,Moderate
DDInter480,Darifenacin,DDInter556,Dihydrocodeine,Moderate
DDInter482,Darunavir,DDInter556,Dihydrocodeine,Moderate
DDInter535,Diazoxide,DDInter556,Dihydrocodeine,Moderate
DDInter556,Dihydrocodeine,DDInter731,Fesoterodine,Moderate
DDInter738,Flavoxate,DDInter556,Dihydrocodeine,Moderate
DDInter556,Dihydrocodeine,DDInter741,Flibanserin,Moderate
DDInter790,Furosemide,DDInter556,Dihydrocodeine,Moderate
DDInter883,Hydrochlorothiazide,DDInter556,Dihydrocodeine,Moderate
DDInter889,Hydroflumethiazide,DDInter556,Dihydrocodeine,Moderate
DDInter916,Indapamide,DDInter556,Dihydrocodeine,Moderate
DDInter1199,Metolazone,DDInter556,Dihydrocodeine,Moderate
DDInter1215,Mifepristone,DDInter556,Dihydrocodeine,Moderate
DDInter1365,Oxybutynin,DDInter556,Dihydrocodeine,Moderate
DDInter1490,Polythiazide,DDInter556,Dihydrocodeine,Moderate
DDInter1666,Sildenafil,DDInter556,Dihydrocodeine,Moderate
DDInter556,Dihydrocodeine,DDInter1667,Silodosin,Moderate
DDInter556,Dihydrocodeine,DDInter1696,Solifenacin,Moderate
DDInter1730,Sumatriptan,DDInter556,Dihydrocodeine,Moderate
DDInter1745,Tamsulosin,DDInter556,Dihydrocodeine,Moderate
DDInter1767,Terazosin,DDInter556,Dihydrocodeine,Moderate
DDInter1832,Tolterodine,DDInter556,Dihydrocodeine,Moderate
DDInter1836,Torasemide,DDInter556,Dihydrocodeine,Moderate
DDInter1886,Trospium,DDInter556,Dihydrocodeine,Moderate
DDInter1971,Zonisamide,DDInter556,Dihydrocodeine,Moderate
DDInter429,Codeine,DDInter44,Alfuzosin,Moderate
DDInter429,Codeine,DDInter109,Apomorphine,Moderate
DDInter429,Codeine,DDInter179,Bendroflumethiazide,Moderate
DDInter429,Codeine,DDInter188,Benzthiazide,Moderate
DDInter429,Codeine,DDInter223,Bosentan,Moderate
DDInter429,Codeine,DDInter243,Bromocriptine,Moderate
